Darija (Arabe),Arabizi,Arabe,Anglais
أستاذ,oustad,أستاذ,teacher
أستاذ,ostad,أستاذ,teacher
تلميد,tlmid,تلميذ,student
تلميد,tilmid,تلميذ,student
مدير,moudir,مدير,director
مدير,modir,مدير,director
عميد,3amid,عميد,dean
عميد,aamid,عميد,dean
عميد,amid,عميد,dean
سبّورة,sbbora,سبّورة,blackboard
سبّورة,sabbora,سبّورة,blackboard
سبّورة,sbora,سبّورة,blackboard
سبّورة,sabora,سبّورة,blackboard
سبّورة,sbora,سبّورة,blackboard
طباشير,Tabachir,طباشير,chalk
طباشير,Tabchir,طباشير,chalk
طباشير,Tbchir,طباشير,chalk
فيزيك,fizik,فيزياء,physics
فيزيك,lfizik,فيزيك,physics
فيزيك,physique,فيزيك,physics
تاريخ,tarikh,تاريخ,history
تاريخ,tari5,تاريخ,history
رياضيات,ryadiat,رياضيات,math
رياضيات,riadiat,رياضيات,math
رياضيات,mat,رياضيات,math
رياضيات,math,رياضيات,math
رياضيات,matt,رياضيات,math
رياضة,sport,رياضة,sport
رياضة,ryada,رياضة,sport
رياضة,riada,رياضة,sport
جغرافيا,joghrafia,جغرافيا,geography
جغرافيا,geo,جغرافيا,geography
درس,drs,درس,course
درس,ders,درس,course
درس,dars,درس,course
درس,cours,درس,course
متحان,mti7an,متحان,exam
متحان,imti7an,امتحان,exam
متحان,mtihan,امتحان,exam
متحان,mti7ane,امتحان,exam
متحان,imtihane,امتحان,exam
متحان,imtihan,امتحان,exam
كتاب,ktab,كتاب,book
كتاب,kitab,كتاب,book
دفتر,dftar,دفتر,notebook
دفتر,deftar,دفتر,notebook
دفتر,daftar,دفتر,notebook
ابتدائي,btida2i,ابتدائي,Primary
ابتدائي,btidai,ابتدائي,Primary
ابتدائي,ibtida2i,ابتدائي,Primary
تعليم,t3lim,تعليم,education
تعليم,ta3lim,تعليم,education
تعليم,te3lim,تعليم,education
مدرسة,mdrasa,مدرسة,school
مدرسة,medrasa,مدرسة,school
مدرسة,mdrassa,مدرسة,school
مدرسة,madrassa,مدرسة,school
مدرسة,medrassa,مدرسة,school
قسم,9ism,قسم,class
قسم,qism,قسم,class
لافاك,lafak,الكلية,faculty
لافاك,lafac,الكلية,faculty
لافاك,la fac,الكلية,faculty
لافاك,lkollia,الكلية,faculty
لافاك,lfaculte,الكلية,faculty
إعدادي,i3dadi,إعدادي,middle school
تانوي,tanawi,ثانوي,secondary school
تانوي,thanawi,ثانوي,secondary school
تانوي,thanaoui,ثانوي,secondary school
تانوي,tanaoui,ثانوي,secondary school
