Darija_Arabe,Arabizi,Arabe_Standard,Anglais
هشيش,8chich,هشيش,fragile
هشيش,hchich,هشيش,fragile
شاعل,cha3l,شاعل,angry
شاعل,cha3al,شاعل,angry
شاعل,cha3el,مشاغب,angry
ضاصر,Dasr,مشاغب,naughty
ضاصر,Dasar,مشاغب,naughty
ضاصر,Daser,مشاغب,naughty
ضاصر,Dasser,مشاغب,naughty
مدمن,modmin,مدمن,addicted
مدمن,moudmin,مدمن,addicted
مدمن,moudmine,مدمن,addicted
غبيّ,ghabyy,غبيّ,stupid
غبيّ,ghaby,غبيّ,stupid
غبيّ,ghabi,غبيّ,stupid
مكلّخ,mkllkh,غبيّ,stupid
مكلّخ,mkallakh,غبيّ,stupid
مكلّخ,mkellekh,غبيّ,stupid
مكلّخ,mkallekh,غبيّ,stupid
مكلّخ,mkll5,غبيّ,stupid
مكلّخ,mkalla5,غبيّ,stupid
مكلّخ,mkelle5,غبيّ,stupid
مكلّخ,mkalle5,غبيّ,stupid
مكلّخ,mkl5,غبيّ,stupid
مكلّخ,mkala5,غبيّ,stupid
مكلّخ,mkele5,غبيّ,stupid
مكلّخ,mkale5,غبيّ,stupid
مجلّج,mjllj,غبيّ,stupid
مجلّج,mjellej,غبيّ,stupid
مجلّج,mjallaj,غبيّ,stupid
مجلّج,mjallej,غبيّ,stupid
مجلّج,mjlj,غبيّ,stupid
مجلّج,mjelej,غبيّ,stupid
مجلّج,mjalaj,غبيّ,stupid
مجلّج,mjalej,غبيّ,stupid
كبير,kbir,كبير,big
كبير,kabir,كبير,big
صغير,sghir,صغير,small
صغير,saghir,صغير,small
مهرّس,m8rrs,مكسور,broken
مهرّس,mhrrs,مكسور,broken
مهرّس,m8arras,مكسور,broken
مهرّس,m8erras,مكسور,broken
مهرّس,m8rs,مكسور,broken
مهرّس,mhrs,مكسور,broken
مهرّس,m8aras,مكسور,broken
مهرّس,m8eras,مكسور,broken
مملّ,momill,مملّ,boring
مملّ,momil,مملّ,boring
صلع,Sl3,أصلع,bald
صلع,Sla3,أصلع,bald
صلع,Sle3,أصلع,bald
قرع,qra3,أصلع,bald
قرع,9ra3,أصلع,bald
قرع,9r3,أصلع,bald
غليض,ghlid,سمين,fat
طبّوزي,Tebbouzi,سمين,fat
رقيق,r9i9,رقيق,thin
رقيق,rqiq,رقيق,thin
طويل,Twil,طويل,tall
طويل,Twel,طويل,tall
قصير,9sir,قصير,short
قصير,9ssir,قصير,short
زوين,zwin,جميل,beautiful
بوڭوص,bogos,وسيم,handsome
خايب,khayb,قبيح,ugly
خايب,khayeb,قبيح,ugly
خايب,5ayb,قبيح,ugly
خايب,5ayeb,قبيح,ugly
هبيل,8bil,مجنون,crazy
هبيل,hbil,مجنون,crazy
مصطّي,mstti,مصطّي,crazy
مصطّي,msatti,مصطّي,crazy
مصطّي,msetti,مصطّي,crazy
مصطّي,msti,مصطّي,crazy
مصطّي,msati,مصطّي,crazy
مصطّي,msetti,مصطّي,crazy
عامر,3aamr,مليئ,full
عامر,aamr,عامر,full
عامر,3amer,عامر,full
عامر,3amr,عامر,full
جديد,jdid,جديد,new
قديم,9dim,قديم,old
قديم,qdim,قديم,old
شارف,charf,قديم,old
