Darija (Arabic),English
البلايص على بلاصتي مع باقيلي جوج بلايص باش نوصل لرقم ديالي .... ههه والله إلا,"The places are in my spot, and I have two spots left to reach my number... Haha, honestly."
القدر كيلعب عليا ... السيدة شافتو بحالي تخوا عليها سطل ديال الما باارد والمشكيل أن,"Fate is playing with me... The lady looked at him as if a bucket of cold water was poured on her, and the problem is that..."
بلاصتو حدا بلاصتها تماما دارت بسرعة عاطياه بالضهر مغطية وجها .. ~ أعوذو بالله أعوذو,"His place is right next to hers, she turned quickly, giving him her back, covering her face... ~ ""I seek refuge in God, I seek refuge."""
بالله من الشيطان الرجيم .. رجعات كطل بنص عين كتشوف مطلع عينو بإبتسامة جانبية وهي,"""I seek refuge in Allah from the accursed devil... She turned, glancing sideways, noticing his raised eye with a sly smile, and she..."""
تعاود تغطي وجها .. ~ اهئ اهئ يا ربي نكون غاكانحلم .. هضرات معاها الموضيفة,"She covered her face again... ~ Oh, oh my God, I hope I'm just dreaming... The employee spoke to her."
كتقوليها تشد بلاصتها دارت بلهلا يطريه ليها وصلات واقفة حداه .. ~ أحم ممكن ندوز,"She said it should stay in its place, she turned around, may God protect her, she arrived standing next to him... ~ Umm, can I pass?"
.. رجع رجلو شوية ودارليها بيديه زعما تفضلي كيدازت حك لحيتو بصبعو وهو كيضحك فخاطرو,"He stepped back a little and gestured with his hands, like saying ""go ahead,"" then scratched his beard with his finger while laughing to himself."
ويحرك راسو زعما لا حول ولا قوة إلا بالله .. غير كلسات كتحس بقلبها كيهبط,"He shook his head as if to say ""There is no power nor strength except with Allah"" ... Just sitting, she felt her heart sinking."
وينزل لدرجة خافت إكون هو كسمعو ، كيدق ويدق بحالي تقول غادا تحارب إسرائيل، دارت,"""And she started."""
فيه شوفة بنص عين كان كيخربق فتيليفونو هبطات عينيها وكأنه كيقرا شي حاجة رجعات دورات,"He glanced with one eye, fiddling with his phone; she lowered her gaze as if reading something, then turned back."
راسها لجاجة .. نوار زعما يكون دايرلي جهاز تعقب ( كدور تشوف فيه بنص عين,Her head is stubborn... Could it be that Nawar put a tracking device on me? (She glances at him sideways).
) لا لا منضنش شكون داها فيك الحريرة نهار العيد .. أم أكيد القدر (,"No, no, I don't think anyone cared about your harira on Eid... Oh, definitely fate."
كضحك بسخرية على نفسها ) راه القدر أحبيبتي القدر المسخوط لي ولد الحرام قال نهار,"She laughed sarcastically at herself: ""It's fate, my dear, the cursed fate that the scoundrel mentioned one day."""
تولد نوار منها نخلاق .. يا حليلي گالسا حداه الله سجل يا تاريخ أنني جلست,"A flower bloomed from her kindness... Oh, how lucky I am to sit beside her. History, bear witness that I sat."
مع حبيبي .. اححح راه حبيبي غير فالطائرة .. ( أه كان حوار بينها وبين,"With my love... Ahhh, my love is just on the plane... (Oh, there was a conversation between her and...)"
نفسها ولكن مع التعابير كيباتو قوم ربي العالمين كاتبانليهوم بحال شي زيزونة تسوطاليها العقل ..,"Herself, but with expressions that make them seem like a small wasp buzzing in the mind."
عينو على تيليفون كيف كيبانليها ولكن الواقع نضراتو عليها ومين شاف داك السيناريو لي دارت,"His eyes were on the phone as it seemed to her, but in reality, his gaze was on her, and when he saw the scenario she created..."
قرب يضحك ليها فوجها صافي والله إلى قالو الحب كيطير الفريخ .. ) شنو زعما,"He was about to laugh in her face, that's it. Honestly, they say love makes people act foolish... What does that even mean?"
نجبد معاه الهضرة، أويلي منيتك واش غاتقوليلو هانتي جبدتي معاه، زعما زعما .. عرفتو كان,"I started a conversation with him, oh my, what will you say to him now that you’ve brought it up, like, like... I knew it was him."
كيبانليا فهاد اللحضة بحالي الملاك لي واقف فكتفي ليمن كيقولي هضري معاه والشيطان لي فكتفي,"It seems to me at this moment like the angel on my right shoulder is telling me to talk to him, and the devil on my shoulder..."
ليسر كيقوليا حاشا واش تعطيه كلمة .. الموضيفة علمات باش إشدو السمطة جمع تيلفون أو,"The left side says, ""No way would you give him a word."" The employee learned to tighten the belt and collect the phone."
شد السمطة ديالو وهي كذلك كيف بدات طائرة كطلع حركة لا إرادة دارتها شدات فيديه,"He tightened his seatbelt, and as the plane started to ascend, she instinctively grabbed his hands."
كارزا عليه وسادا عينيها بسرعة وهو عينو على وجها كيتأمل فيها .. حلات عينيها باش,"She quickly closed her eyes tightly while he gazed at her face, admiring her... She opened her eyes to..."
كتحس بالطائرة ستاقرات فالجو هبطاتهوم كتشوف فيديها لي كارزة على يدو وطلعات عينيها فعينو لي,"She felt the plane stabilized in the air, she lowered her gaze to her hands gripping his, then raised her eyes to meet his."
طلاقاو نيشان .. ~ أحم ت اد أنا بغيت نمشي للطواليط .. ناضت بسرعة وحناكها,"""They divorced straight away... ~ Ahm, excuse me, I want to go to the bathroom... She got up quickly and left."""
حوومر غادا لطواليط دخلات وسدات شافت راسها فالمرايا .. ~ نوار رجعي لعقلك واش تسيطيتي,"Houmer went to the bathroom, entered, and closed the door. She looked at herself in the mirror... ~ ""Nwar, get a grip! Have you lost your mind?"""
شغايقول دابا غير كتحرشي بيه أفف يا ربي يا ربي تبتي تبتي خسك تباني رزينة,"What will he say now? You're just provoking me. Oh God, oh God, keep me steadfast. You need to appear composed."
أنوار رزيينة فينهو الهدوء ديالك فيييين افف .. غسلات وجها ونشفاتو بكاغيط وتمات خارجة ومتملكة,"Anwar calmly washed her face, dried it with a tissue, and walked out confidently."
الهدوء على وجها كلسات فبلاصتها ... بقات ساهية حتى غفات .. كتحل عينيها على صوت,The calmness on her face remained in place... she stayed lost in thought until she fell asleep... she opened her eyes to a sound.
الطائرة لي تحطات كتحل عينيها كتلقا راسها محطوط على كتفو ناضت مقلوبة كتستوعب راسها فين,"The plane that landed, she opened her eyes and found her head resting on his shoulder; she got up startled, realizing where she was."
.. يحيى ~ صباح الخير .. كتعيق شوية بشوية وهي كتحل عينيها بصدمة بدات دارت,".. Yahya ~ Good morning .. You're overdoing it a little bit, as she opened her eyes in shock and started looking around."
كتعض على شفايفها ويديها كيفركو بعضهوم هادي هي حالتها مين كتوتر وهو كيلاحض أبسط الأشياء,"She bites her lips, and her hands fidget; that's her state when she's nervous, and he notices the smallest details."
.. نطق بصوت هادئ .. يحيى ~ شكرا ً .. دورات بسرعة عينيها لعندو كأنو,.. He spoke in a calm voice .. Yahya ~ Thank you .. She quickly turned her eyes toward him as if he...
فيقها من سهوتها ~ ها ا ز زعما علاش ! ؟ .. ~ حيت ضحيتي,"Wake her from her distraction ~ Oh really, why!? .. ~ Because you sacrificed."
بكولشي باش نبرا .. تم نيت فهماتو أش بغا يقصد .. ~ اه ماشي موشكيل,"""With everything to heal .. then I understood what he meant .. ~ Oh, no problem."""
هادا طبعي معا أي مريض ومن واجبي نعاونو .. ~ منضنش أنك فايتليك درتي بحال,"""This is my nature with any patient, and it's my duty to help them... ~ I don't think you've ever done the same."""
