Darija (Arabe),Arabizi,Arabe,Anglais
حكومة,hokouma,الحكومة,Government
حكومة,7okouma,الحكومة,Government
وزارة,wizara,الوزارة,Ministry
برلمان,barlaman,البرلمان,Parliament
برلمان,barlmn,البرلمان,Parliament
مجلس,majliss,المجلس,Council
مجلس,majlis,المجلس,Council
قانون,qanoun,القانون,Law
قانون,9anoun,القانون,Law
دستور,dostour,الدستور,Constitution
ميزانية,mizaniya,الميزانية,Budget
انتخابات,intikhabat,الانتخابات,Elections
انتخابات,inti5abat,الانتخابات,Elections
رئيس,rays,الرئيس,President
رئيس,raiss,الرئيس,President
وزير,wazir,الوزير,Minister
سلطة,solta,السلطة,Authority
تنظيم,tandim,التنظيم,Regulation
تنظيم,tandhim,التنظيم,Regulation
إدارة,idara,الإدارة,Administration
محكمة,mahkama,المحكمة,Court
شؤون,chououn,الشؤون,Affairs
شؤون,chou2oun,الشؤون,Affairs
محافظة,mohafada,المحافظة,Province
محافظة,mohafda,المحافظة,Province
جهة,jiha,الجهة,Region
إصلاح,islah,الإصلاح,Reform
إصلاح,isla7,الإصلاح,Reform
مجتمع,moujtama,المجتمع,Community
مجتمع,moujtam3,المجتمع,Community
وظيفة,wadifa,الوظيفة,Job
وظيفة,waddifa,الوظيفة,Job
مجلس الشعب,majlis chaab,مجلس الشعب,People's Council
مجلس الشعب,majlis cha3b,مجلس الشعب,People's Council
الانتخابات المحلية,intikhabat mahaliya,الانتخابات المحلية,Local Elections
الانتخابات المحلية,inti5abat ma7aliya,الانتخابات المحلية,Local Elections
الديوان,diwan,الديوان,Bureau
الخدمات العامة,khidmat 3ama,الخدمات العامة,Public Services
الخدمات العامة,5idma 3ama,الخدمات العامة,Public Services
رئاسة الوزراء,ri2asat wazara,رئاسة الوزراء,Prime Minister's Office
التشاور,tachawor,التشاور,Consultation
الجهوية,jihawiya,الجهوية,Regionalization
الجهوية,ji8awiya,الجهوية,Regionalization
المفاوضات,mofawadat,المفاوضات,Negotiations
المفاوضات,mofawdat,المفاوضات,Negotiations
الميزانية الوطنية,mizaniya wataniya,الميزانية الوطنية,National Budget
القوانين التنظيمية,qawanin tandimiya,القوانين التنظيمية,Regulatory Laws
القوانين التنظيمية,9awanin tandhimia,القوانين التنظيمية,Regulatory Laws
الشفافية,chafafiya,الشفافية,Transparency
الشراكة,charka,الشراكة,Partnership
الشراكة,charaka,الشراكة,Partnership
الحكم المحلي,hokm ma7ali,الحكم المحلي,Local Governance
الحكم المحلي,7okm mahali,الحكم المحلي,Local Governance
الرقابة,ra9aba,الرقابة,Oversight
البرامج الحكومية,baramij hokoumiya,البرامج الحكومية,Government Programs
البرامج الحكومية,baramij 7okoumiya,البرامج الحكومية,Government Programs
الإصلاحات السياسية,islahat siyasiya,الإصلاحات السياسية,Political Reforms
الإصلاحات السياسية,isla7at siyasiya,الإصلاحات السياسية,Political Reforms
التنظيم القضائي,tandim 9ada2i,التنظيم القضائي,Judicial Organization
التنظيم القضائي,tandhim 9ada2i,التنظيم القضائي,Judicial Organization
المالية العامة,maliya 3ama,المالية العامة,Public Finance
السيادة الوطنية,siyada wataniya,السيادة الوطنية,National Sovereignty
التوظيف العمومي,tawzif 3omomi,التوظيف العمومي,Civil Service Employment
التوظيف العمومي,tawdhif 3omomi,التوظيف العمومي,Civil Service Employment
التوظيف العمومي,tawdif 3omomi,التوظيف العمومي,Civil Service Employment
مشكلة,mochkla,مشكلة,problem
مشكلة,mochkila,مشكلة,problem
مشكلة,mchkla,مشكلة,problem
كيفاش نخدم مع الحكومة؟,kifach nkhdm m3a lhokouma?,كيف أعمل مع الحكومة؟,How can I work with the government?
كيفاش نخدم مع الحكومة؟,kifach n5dm m3a l7okouma?,كيف أعمل مع الحكومة؟,How can I work with the government?
كيفاش نخدم مع الحكومة؟,kifach n5dem m3a lhokouma?,كيف أعمل مع الحكومة؟,How can I work with the government?
كيفاش نخدم مع الحكومة؟,kifach n5dam m3a lhokouma?,كيف أعمل مع الحكومة؟,How can I work with the government?
شنو ندير باش نبدل بطاقة التعريف؟,chno ndir bach nbddl bita9a ta3rif?,ماذا أفعل لتغيير بطاقة التعريف؟,What should I do to change my ID card?
