Darija_Arabe,Anglais,Arabizi
ا,a,2
أ,a,2
أ,a,a
ا,a,a
ب,b,b
ت,t,t
ث,th,th
ث,th,t
ج,j,j
ج,j,dj
ح,h,7
ح,h,h
خ,kh,kh
خ,kh,5
د,d,d
ذ,d,d
ر,r,r
ز,z,z
س,s,s
س,c,s
ش,ch,ch
ش,sh,sh
ص,s,s
ص,ç,s
ض,d,d
ض,dh,dh
ط,t,t
ظ,dh,dh
ظ,d,d
ع,a,3
غ,g,gh
ف,f,f
ق,q,q
ك,k,k
ل,l,l
م,m,m
ن,n,n
ه,h,h
و,w,ou
و,w,w
ي,y,y
ي,i,i
ة,t,t
شنو هو الرصيد ديالي؟,What is my balance?,chnou howa rrassid diali?
شنو هو الرصيد ديالي؟,What is my balance?,shnou howa rrassid diali?
شنو هو  رصيدي,What is ly balance?,chnou howa rsidi
شنو هو  رصيدي,What is ly balance?,shnou howa rsidi
شنو هو الرصيد تاعي,What is ly balance?,chnou howa rrassid ta3i
شنو هو الرصيد تاعي,What is ly balance?,shnou howa rrassid ta3i
بغيت نعرف الرصيد ديالي,What is my balance?,bghit n3rf rrassid diali
بغيت نعرف الرصيد ديالي,What is my balance?,bghit n3raf rrassid diali
بغيت نشوف المعاملات الأخيرة ديالي.,I want to check my recent transactions.,bghit nchouf lmo3amalat l2akhira diali.
بغيت نشوف المعاملات الأخيرة ديالي.,I want to check my recent transactions.,bghit nchouf lmo3amalat l2a5ira diali.
بغيت نشوف المعاملات الأخيرة ديالي.,I want to check my recent transactions.,bghit nshouf lmo3amalat l2a5ira diali.
بغيت نشوف المعاملات الأخيرة ديالي.,I want to check my recent transactions.,bghit nshouf lmo3amalat l2akhira diali.
كيفاش نقدر نطلب دفتر شيكات جديد؟,How can I order a new checkbook?,kifash n9dr ntleb defter chikat jdide?
كيفاش نقدر نطلب دفتر شيكات جديد؟,How can I order a new checkbook?,kifach n9dr ntleb defter chikat jdide?
كيفاش نقدر نطلب دفتر شيكات جديد؟,How can I order a new checkbook?,kifach nqdr ntleb defter chikat jdide?
كيفاش نقدر نطلب دفتر شيكات جديد؟,How can I order a new checkbook?,kifash n9dr ntleb defter shikat jdide?
كيفاش نقدر نطلب دفتر شيكات جديد؟,How can I order a new checkbook?,kifash nqdr ntleb defter chikat jdide?
كيفاش نقدر نطلب دفتر شيكات جديد؟,How can I order a new checkbook?,kifash nqdr ntleb defter shikat jdide?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2i9 lli khassni njib bach nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2i9 lli 5assni njib bach nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2i9 lli 5assni njib bach nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2i9 lli khassni njib bach nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2iq lli 5assni njib bach nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2iq lli 5assni njib bach nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2iq lli khassni njib bach nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,chnou hiya lwata2iq lli khassni njib bach nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2i9 lli 5assni njib bash nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2i9 lli 5assni njib bash nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2i9 lli khassni njib bash nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2i9 lli khassni njib bash nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2iq lli 5assni njib bash nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2iq lli 5assni njib bash nftah hsab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2iq lli khassni njib bash nfta7 7sab?
شنو هي الوثائق لي خاصني نجيب باش نفتح حساب؟,What documents do I need to open an account?,shnou hiya lwata2iq lli khassni njib bash nftah hsab?
فين كاينة أقرب وكالة؟,Where is the nearest branch?,fin kayna 9rab wakala?
فين كاينة أقرب وكالة؟,Where is the nearest branch?,fin kayna qrab wakala?
بغيت نحول الفلوس لحساب آخر.,I want to transfer money to another account.,bghit n7awel lflous l7sab akhor.
بغيت نحول الفلوس لحساب آخر.,I want to transfer money to another account.,bghit n7awel lflous l7sab a5or.
بغيت نحول الفلوس لحساب آخر.,I want to transfer money to another account.,bghit nhawel lflous lhsab a5or.
بغيت نحول الفلوس لحساب آخر.,I want to transfer money to another account.,bghit nhawel lflous lhsab akhor.
شنو ندير إذا نسيت كلمة المرور ديالي؟,What should I do if I forget my password?,chnou ndir ila nsite kelma lmorour diali?
شنو ندير إذا نسيت كلمة المرور ديالي؟,What should I do if I forget my password?,shnou ndir ila nsite kelma lmorour diali?
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit n9addem talab 9ard shakhssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit n9addem talab 9ard cha5ssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit n9addem talab 9ard chakhssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit n9addem talab 9ard sha5ssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit nqaddem talab qard cha5ssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit nqaddem talab qard chakhssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit nqaddem talab qard sha5ssi.
بغيت نقدم طلب قرض شخصي.,I want to apply for a personal loan.,bghit nqaddem talab qard shakhssi.
شنو هي الفوائد على القروض السكنية؟,What are the interest rates on home loans?,chnou hiya lfawaid 3la l9oroud ssakniya?
شنو هي الفوائد على القروض السكنية؟,What are the interest rates on home loans?,chnou hiya lfawaid 3la lqoroud ssakniya?
شنو هي الفوائد على القروض السكنية؟,What are the interest rates on home loans?,shnou hiya lfawaid 3la l9oroud ssakniya?
شنو هي الفوائد على القروض السكنية؟,What are the interest rates on home loans?,shnou hiya lfawaid 3la lqoroud ssakniya?
شنو هي الفوائد على القروض السكنية؟,What are the interest rates on home loans?,chnou hiya lfawa2id 3la el9oroud ssakniya?
