Darija_Arabe,Arabizi,Arabe_Standard,Anglais
محطة,mahata,محطة أساسية,Base Station
محطة,mahatta,محطة أساسية,Base Station
قوة ديال السينيال,qowa dyal signal,قوة الإشارة,Signal Strength
قوة ديال السينيال,qowa dial signal,قوة الإشارة,Signal Strength
قوة ديال السينيال,9owa dyal signal,قوة الإشارة,Signal Strength
قوة ديال السينيال,9owa dial signal,قوة الإشارة,Signal Strength
تبديل,tbdil,التبديل,Switching
تبديل,tebdil,التبديل,Switching
تبديل,tabdil,التبديل,Switching
تحويل,tahwil,التبديل,Switching
تحويل,ta7wil,التبديل,Switching
تحويل,t7wil,التبديل,Switching
شبكة ديال التليفون,Shabka dial tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,chabka dial tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,Chabka dyal tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,Shabka dyal tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,Chbka dial tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,Shabka dial tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,Shbka dyal tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,chbka dyal tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,Shebka dial tilifun,شبكة خلوية,Cellular Network
شبكة ديال التليفون,chebka dial tilifun,شبكة خلوية,Cellular Network
معطيات,mo3tayat, البيانات,Data
معطيات,ma3tiyat, البيانات,Data
معطيات,moatayat, البيانات,Data
معطيات,maatiyat, البيانات,Data
باب ديال الربط,Bab dial rbat,بوابة,Gateway
باب ديال الربط,Bab dial rebt,بوابة,Gateway
باب ديال الربط,Bab dial rabt,بوابة,Gateway
نقل,na9l,الإرسال,Transmission
نقل,ne9l,الإرسال,Transmission
نقل,n9l,الإرسال,Transmission
نقل,nql,الإرسال,Transmission
نقل,naql,الإرسال,Transmission
نقل,neql,الإرسال,Transmission
الكلاود,lcloud,الحوسبة السحابية,Cloud Computing
نقطة الوصول,noqtat lwosol,نقطة وصول,Access Point
نقطة الوصول,no9tat lwosol,نقطة وصول,Access Point
ميكرو اوند,micro ondes,الميكروويف,Microwave
موجات الراديو,moujat radio,الموجة الراديوية,Radio Wave
موجات الراديو,mowjat radio,الموجة الراديوية,Radio Wave
تداخل,tadakhol,التداخل,Interference
لادراس أيپي,ladresse ip,عنوان بروتوكول الإنترنت,IP Address
تعدد الإخراجات,taadod likhrajat,التعدد,Multiplexing
تعدد الإخراجات,taadod li5rajat,التعدد,Multiplexing
تعدد الإخراجات,ta3adod likhrajat,التعدد,Multiplexing
تعدد الإخراجات,ta3adod li5rajat,التعدد,Multiplexing
فايروول,firewall,جدار الحماية,Firewall
جدار ناري,jidar nari,جدار الحماية,Firewall
فايروول,firewall,جدار الحماية,Firewall
روتور,Routeur,موجه,Router
الألياف البصرية,Lif Dawi,الألياف البصرية,Fiber Optics
تردد,Taradod,تردد,Frequency
تعديل,T3dil,تعديل,Modulation
تعديل,Ta3dil,تعديل,Modulation
مرسل,Morsl,مرسل,Transmitter
مرسل,Morsel,مرسل,Transmitter
مستقبل,Mosta9bel,مستقبل,Receiver
مستقبل,Mosta9bil,مستقبل,Receiver
إشارة,Sinyal,إشارة,Signal
بروتوكول,Protocole,بروتوكول,Protocol
شبكة,Shabka,شبكة,Network
شبكة,chabka,شبكة,Network
شبكة,Shbka,شبكة,Network
شبكة,cShbka,شبكة,Network
قمر صناعي,9amar Sina3i,قمر صناعي,Satellite
تغطية,Taghtiya,تغطية,Coverage
النطاق العريض,Band 3arid,النطاق العريض,Broadband
الطيف,tayf,الطيف,Spectrum
تليفون,Telephone,الهاتف,Telephone
تليفون,tilifon,الهاتف,Telephone
تليفون,tilifun,الهاتف,Telephone
تليفون,tilifoun,الهاتف,Telephone
تشفير,Tachfir,تشفير,Encryption
تشفير,Tashfir,تشفير,Encryption
تأخير,taakhir,زمن الانتظار,Latency
