Darija_Arabe,Arabizi,Arabe_Standard,Anglais
موسيقا,moussi9a,موسيقى,music
موسيقا,moussi9qa,موسيقى,music
موسيقا,mousi9a,موسيقى,music
موسيقا,mousiqa,موسيقى,music
موسيقا,mussiqa,موسيقى,music
موسيقا,musiqa,موسيقى,music
موسيقا,mosi9a,موسيقى,music
موسيقا,mossi9a,موسيقى,music
رسم,rasm,رسم,painting
كامانجا,kamanja,كامانجا,violin
عود,3oud,عود,oud
شطيح,chtih,شطيح,dance
شطيح,chTi7,شطيح,dance
غنا,ghna,غناء,singing
غنا,ghna2,غنا,singing
غنا,ghona,غنا,singing
غنا,ghonna,غنا,singing
شعر,chi3r,شعر,poetry
فنّ,fenn,فنّ,art
فنّ,fenn,فنّ,art
فنّ,fann,فنّ,art
فنّ,fane,فنّ,art
فنّ,fn,فنّ,art
فنّ,fnn,فنّ,art
مسرح,masrah,مسرح,theater
مسرح,msrah,مسرح,theater
مسرح,mesrah,مسرح,theater
مسرح,msr7,مسرح,theater
مسرح,masra7,مسرح,theater
مسرح,msrh,مسرح,theater
مسرح,mesrah,مسرح,theater
تصفيق,tasfi9,تصفيق,applause
تصفيق,tesfi9,تصفيق,applause
تصفيق,tsfi9,تصفيق,applause
تصفيق,tasfiq,تصفيق,applause
تصويرة,taswira,تصويرة,photo
تصويرة,tswira,تصويرة,photo
تصويرة,teswira,تصويرة,photo
شيتا,chita,فرشاة,brush
خيال,khayal,خيال,imagination
خيال,5ayal,خيال,imagination
الضو,ddo,الضو,light
الضو,Daw2,الضوء,light
إبداع,ibda3,إبداع,creativity
إبداع,ibdaa,إبداع,creativity
جمال,jamal,جمال,beauty
روعة,raw3a,روعة,magnificence
روعة,rawaa,روعة,magnificence
شاعر,cha3ir,شاعر,poet
شاعر,chair,شاعر,poet
كاتب,katib,كاتب,writer
روائي,riwa2i,روائي,novelist
مخرج,mokhrij,مخرج,film director
مخرج,mo5rij,مخرج,film director
ممتّل,momatil,ممتّل,actor
ممتّل,momathil,ممتّل,actor
مؤلف,mo2alif,مؤلف,author
مؤلف,moalif,مؤلف,author
هندسة,8andassa,هندسة,engineering
هندسة,handassa,هندسة,engineering
رسم,rasm,رسم,drawing
نحت,na7t,نحت,sculpture
نحت,naht,نحت,sculpture
نحت,n7t,نحت,sculpture
نحت,nht,نحت,sculpture
نحت,neht,نحت,sculpture
متحف,mathaf,متحف,museum
متحف,mt7f,متحف,museum
متحف,mat7af,متحف,museum
متحف,met7af,متحف,museum
طبل,Tbl,طبل,drum
طبل,Tbel,طبل,drum
طبل,Tbal,طبل,drum
پيانو,piano,پيانو,piano
ڭيتار,guitar,قيتار,guitar
ڭيتار,kitar,ڭيتار,guitar
نغمة,naghma,نغمة,tone
نغمة,nghma,نغمة,tone
نغمة,narma,نغمة,tone
نغمة,nrma,نغمة,tone
أُسلوب,osloub,أُسلوب,style
أُسلوب,osloub,أُسلوب,style
أُفقي,ofo9i,أُفقي,horizontal
أُفقي,ofoqi,أُفقي,horizontal
عمودي,3amoudi,عمودي,vertical
عمودي,3amodi,عمودي,vertical
شمعة,chm3a,شمعة,candle
شمعة,cham3a,شمعة,candle
شمعة,chem3a,شمعة,candle
شمعة,chemaa,شمعة,candle
نسجام,nsijam,انسجام,harmony
نسجام,inssijam,نسجام,harmony
تزعزيع,tze3zi3,اهتزاز,vibration
تزعزيع,tza3zi3,تزعزيع,vibration
تزعزيع,tz3zi3,تزعزيع,vibration
تزعزيع,ttz3zi3,تزعزيع,vibration
إيقاع,i9a3,إيقاع,rhythm
إيقاع,iy9a3,إيقاع,rhythm
إيقاع,iqa3,إيقاع,rhythm
تأثير,t2tir,تأثير,impression
تأثير,ta2tir,تأثير,impression
تأثير,ta2thir,تأثير,impression
تصميم,tsmim,تصميم,design
تصميم,tasmim,تصميم,design
تعبير,t3bir,تعبير,expression
تعبير,ta3bir,تعبير,expression
تقنية,ti9nia,تقنية,technique
تقنية,t9nia,تقنية,technique
تقنية,te9nia,تقنية,technique
تقنية,tiqnia,تقنية,technique
تقنية,tqnia,تقنية,technique
تكرار,tikrar,تكرار,repetition
معاودا,m3awda,معاودا,repetition
معاودا,maawda,معاودا,repetition
تماتل,tamatol,تماثل,symmetry
تماتل,tamatoul,تماثل,symmetry
بعد,bou3d,بعد,dimension
بعد,bo3d,بعد,dimension
بعد,bo3d,بعد,remote
مسافة,masafa,مسافة,distance
مسافة,massafa,مسافة,distance
مسافة,messafa,مسافة,distance
ڭنطرا,gnTrra,جسر,bridge
ڭنطرا,gnTra,جسر,bridge
ڭنطرا,ganTra,جسر,bridge
ڭنطرا,guenTra,جسر,bridge
خطّ,khtt,خطّ,line
خطّ,kht,خطّ,line
خطّ,khet,خطّ,line
خطّ,khat,خطّ,line
خطّ,5at,خطّ,line
مربّع,maraba3,مربّع,square
مربّع,morb3,مربّع,square
دوّارة,dwwara,دائرة,circle
دوّارة,dawara,دائرة,circle
دايرة,dayra,دائرة,circle
دائرة,da2ira,دائرة,circle
